number,population,under15-man
44,19917,1067
44,24423,1148
44,23906,1381
44,32083,1931
44,59008,3789
44,39452,2206
44,34702,2318
44,32002,1779
44,2189,118
44,28221,2098
44,10421,582
44,17054,1121
45,400583,29697
45,169602,12344
45,131182,9501
45,57689,3593
45,48270,3272
45,63223,4763
45,20453,1201
45,32614,2245
45,21606,1309
45,24800,2000
45,10000,625
45,20909,1334
45,7224,469
45,21733,1495
45,18092,1409
45,1241,77
45,5177,348
45,17009,1269
45,11137,736
45,18854,1467
45,1882,125
45,3092,174
45,6248,323
45,13723,886
45,4463,264
45,4427,338
46,605846,43199
46,105070,8139
46,23638,1397
46,23154,1371
46,55621,4049
46,44396,2700
